sampleId	Group	SIMS
TCGA.14.3477.01	PN	0.99998
TCGA.14.0865.01	PN	0.99998
TCGA.12.3646.01	PN	0.99998
TCGA.06.0216.01	PN	0.99997
TCGA.14.1825.01	PN	0.999960001
TCGA.19.1390.01	PN	0.999950001
TCGA.02.0011.01	PN	0.999940001
TCGA.02.0024.01	PN	0.999880002
TCGA.06.0875.01	PN	0.999800004
TCGA.12.0618.01	PN	0.999720005
TCGA.02.0069.01	PN	0.999710024
TCGA.06.0686.01	PN	0.999670009
TCGA.06.0648.01	PN	0.999560009
TCGA.08.0245.01	PN	0.999370012
TCGA.06.0241.01	PN	0.999200016
TCGA.41.5651.01	PN	0.99897002
TCGA.12.0616.01	PN	0.998460031
TCGA.41.2571.01	PN	0.996590068
TCGA.32.1976.01	PN	0.996571193
TCGA.02.2466.01	PN	0.996050079
TCGA.02.0060.01	PN	0.993820429
TCGA.76.4925.01	PN	0.993744003
TCGA.41.2575.01	PN	0.993630567
TCGA.41.2573.01	PN	0.991540589
TCGA.02.0074.01	PN	0.98850023
TCGA.06.0178.01	PN	0.987610248
TCGA.32.4210.01	PN	0.977520522
TCGA.32.2634.01	PN	0.976963311
TCGA.06.0174.01	PN	0.976699493
TCGA.06.2558.01	PN	0.976340957
TCGA.76.4932.01	PN	0.972185802
TCGA.08.0348.01	PN	0.970691861
TCGA.08.0385.01	PN	0.970680586
TCGA.12.1597.01	PN	0.968020639
TCGA.14.1455.01	PN	0.96400072
TCGA.06.0238.01	PN	0.963950721
TCGA.12.3651.01	PN	0.960843128
TCGA.06.5411.01	PN	0.960420621
TCGA.26.5134.01	PN	0.950702463
TCGA.06.1801.01	PN	0.93964181
TCGA.28.5204.01	PN	0.919279054
TCGA.76.4934.01	PN	0.916025036
TCGA.14.0871.01	PN	0.859112528
TCGA.76.6191.01	PN	0.846838569
TCGA.76.6285.01	PN	0.827950414
TCGA.32.5222.01	PN	0.825693486
TCGA.02.0003.01	PN	0.817423651
TCGA.16.0846.01	PN	0.814193716
TCGA.28.1746.01	PN	0.813812333
TCGA.12.1598.01	PN	0.813750495
TCGA.06.2559.01	PN	0.758046315
TCGA.06.0195.01	PN	0.757158988
TCGA.19.0957.01	PN	0.696520671
TCGA.08.0347.01	PN	0.696246291
TCGA.02.0047.01	PN	0.693506183
TCGA.12.5301.01	PN	0.663263668
TCGA.76.4935.01	PN	0.632484254
TCGA.26.5135.01	PN	0.593117179
TCGA.19.1387.01	PN	0.582003022
TCGA.06.6391.01	PN	0.56899862
TCGA.76.4929.01	PN	0.560738313
TCGA.08.0359.01	PN	0.55030047
TCGA.27.1834.01	PN	0.508174528
TCGA.06.0171.01	PN	0.457764047
TCGA.06.0188.01	PN	0.438030185
TCGA.12.1602.01	PN	0.40961088
TCGA.06.0237.01	PN	0.363532133
TCGA.12.3650.01	PN	0.351024986
TCGA.06.0219.01	PN	0.340775871
TCGA.02.0046.01	PN	0.309760847
TCGA.19.2624.01	PN	0.263764725
TCGA.06.2569.01	PN	0.261805309
TCGA.32.1980.01	PN	0.25880395
TCGA.02.0052.01	PN	0.240545189
TCGA.06.0745.01	PN	0.230472423
TCGA.32.4211.01	PN	0.224172163
TCGA.06.0749.01	PN	0.145276247
TCGA.76.6192.01	PN	0.14086328
TCGA.14.0817.01	PN	0.127204056
TCGA.14.3476.01	PN	0.112397752
TCGA.12.3644.01	PN	0.090338193
TCGA.14.0813.01	PN	0.089522324
TCGA.27.1836.01	PN	0.079016049
TCGA.14.1794.01	PN	0.071085438
TCGA.06.0646.01	PN	0.058036529
TCGA.06.0876.01	PN	0.054834773
