Cell_2016_PanGlioma	Cell_2013_GBM	NG_2015_LGG	Cell_2018_LGG	Nature_2014_GBM	NEJM_2015_LGG	Cell_2018_GBM
IDH1	TP53	IDH1	ARID1A	AZGP1	TP53	ATRX
TP53	EGFR	TP53	ARID2	BRAF	CIC	BRAF
ATRX	PTEN	CIC	ATRX	CD1D	NOTCH1	EGFR
CIC	NF1	ATRX	CIC	CHD8	IDH2	GABRA6
PIK3R1	PIK3CA	FUBP1	EGFR	DDX5	IDH1	IDH1
IDH2	PIK3R1	NOTCH1	FUBP1	EGFR	ATRX	KEL
FUBP1	SPTA1	PIK3R1	IDH1	IDH1	FUBP1	LZTR1
NOTCH1	RB1	PIK3CA	IDH2	KEL	NF1	NF1
RB1	TCHH	SETD2	MAX	MAP3K1	PTEN	PDGFRA
TCF12	ATRX	IDH2	NF1	MUC17	PIK3R1	PIK3CA
NF1	KEL	PDGFRA	NIPBL	NF1	PIK3CA	PIK3R1
PTEN	IDH1	PTEN	NOTCH1	NUP210L	EGFR	PTEN
PIK3CA	ABCC9	SMARCA4	NRAS	PIK3CA	ARID1A	RB1
BCOR	PDGFRA	EGFR	PIK3CA	PIK3R1	TCF12	SPTA1
STAG2	STAG2	ARID1B	PIK3R1	PTEN	SMARCA4	STAG2
PLCG1	COL1A2	ARID1A	PLCG1	QKI	ZBTB20	TCF12
ZBTB20	HEATR7B2	ADAM10	PTEN	RB1	PLCG1	TP53
NUP210L	NLRP5	NF1	PTPN11	RPL5	PTPN11	
GABRA6	GABRA6	H3F3A	SETD2	SETD2	ZCCHC12	
ABCD1	SEMA3C	NOTCH2	SMARCA4	SLC26A3		
SLC6A3	SCN9A	CDKN2A	TCF12	STAG2		
SETD2	CDH18	MSH6	TP53	TP53		
PTPN11	LZTR1	FGFR1	ZBTB20			
TRPA1	ABCB1	PTPN11	ZCCHC12			
NRAS	DRD5	MLL5				
ST3GAL6	ADAM29	SETD8				
KRAS	SEMG1	TET2				
ARID2	CXorf22	SMARCB1				
RPL5	TPTE2	CDKN1A				
DNMT3A	CDH9	CDKN2C				
COL6A3	CALCR	SEMA3C				
TYRP1	TRPV6	PIK3C2B				
LZTR1	DCAF12L2	NLRP5				
EEF1A1	SEMA3E	SETDB1				
ZNF292	SPRYD5	PHF10				
KRT15	RPL5	ERBB3				
FAM126B	SULT1B1	COL1A2				
TLR6	SLC26A3	MSH2				
MAX	DYNC1I1	TNFRSF9				
BRAF	ZNF99	ARAF				
NIPBL	MMP13	TPM1				
TP63	CARD6					
RNF168	ZNF844					
AOX1	LRRC55					
DDX5	IL18RAP					
QKI	AFM					
EGFR	BRAF					
MUC17	UGT2A3					
F5	GABRB2					
SMARCA4	GABRA1					
EIF1AX	FGA					
IL1RL1	FRMD7					
ZDHHC4	SIGLEC8					
ACAN	FOXR2					
ARID1A	ANKRD36					
C10orf76	WNT2					
C15orf48	LUM					
CLCN7	RFX6					
CLIP1	QKI					
CREBZF	GPX5					
EDAR	PODNL1					
EPHA3	CD3EAP					
FHOD1	CDHR3					
GLT8D2	C1orf150					
HMCN1	KRTAP20-2					
IL4R	ODF4					
KEL	LCE4A					
KRT13	CDX4					
MYT1	PLCH2					
PIK3C2G	PARD6B					
PPM1J	TMEM147					
RBBP6						
SEMG1						
TGFA						
TPTE2						
