"ROW_ID"	"ROW_VERSION"	"pair_barcode"	"cellularity"	"ploidy"	"slpp"
"1"	"1"	"GLSS-DK-0004-TP-01-NB-01D-WXS"	"0.87"	"2.6"	"0.991383781656046"
"2"	"1"	"TCGA-06-0211-TP-01-NB-01D-WXS"	"0.87"	"2.6"	"0.985251870970893"
"3"	"1"	"GLSS-SF-0010-R1-01-NM-01D-WXS"	"0.96"	"2.1"	"0.984656657102511"
"4"	"1"	"TCGA-06-0125-TP-01-NB-01D-WGS"	"0.88"	"2.5"	"0.98378328291088"
"5"	"1"	"GLSS-SF-0001-R1-01-NM-01D-WXS"	"0.92"	"2"	"0.970520268775335"
"6"	"1"	"GLSS-MD-0094-R1-01-NB-01D-WXS"	"0.8"	"2.2"	"0.963699918490173"
"7"	"1"	"TCGA-DU-6404-R2-11-NB-01D-WGS"	"0.98"	"2.1"	"0.963627950426204"
"8"	"1"	"GLSS-SM-R070-R1-01-NB-01D-WXS"	"0.95"	"2.5"	"0.955671843632633"
"9"	"1"	"GLSS-CU-R006-R1-01-NB-01D-WXS"	"0.83"	"2.1"	"0.95168252236126"
"10"	"1"	"GLSS-DF-0014-R1-01-NB-01D-WXS"	"0.34"	"4.9"	"0.949545111769799"
"11"	"1"	"TCGA-DU-6407-R2-11-NB-01D-WGS"	"0.85"	"2.4"	"0.944396348798925"
"12"	"1"	"GLSS-HK-0002-R1-01-NB-01D-WXS"	"0.93"	"2.2"	"0.917478268467659"
"13"	"1"	"GLSS-HK-0002-R1-01-NB-01D-WGS"	"0.93"	"2.2"	"0.907638783909614"
"14"	"1"	"GLSS-19-0279-R1-01-NB-01D-WXS"	"0.98"	"2.7"	"0.904405761318408"
"15"	"1"	"GLSS-NS-0001-R2-01-NB-01D-WGS"	"0.76"	"2.3"	"0.895204743883764"
"16"	"1"	"GLSS-SM-R108-R1-01-NB-01D-WXS"	"0.92"	"2"	"0.892866661534575"
"17"	"1"	"TCGA-06-0211-TP-01-NB-01D-WGS"	"0.66"	"3.3"	"0.887140562717383"
"18"	"1"	"GLSS-SF-0069-R1-01-NB-01D-WXS"	"0.91"	"2"	"0.884081721431891"
"19"	"1"	"GLSS-DK-0004-R1-01-NB-01D-WXS"	"0.8"	"5"	"0.87435189718748"
"20"	"1"	"GLSS-LU-0B12-R1-01-NB-01D-WXS"	"0.7"	"2.4"	"0.845807217116765"
"21"	"1"	"TCGA-14-1402-R1-01-NB-01D-WGS"	"0.84"	"2.4"	"0.841253149495725"
"22"	"1"	"GLSS-SM-R110-R1-01-NB-01D-WXS"	"0.75"	"2"	"0.84106641802252"
"23"	"1"	"GLSS-19-0278-TP-01-NB-01D-WXS"	"0.73"	"2.1"	"0.840088398449565"
"24"	"1"	"TCGA-DU-6404-R2-11-NB-01D-WXS"	"0.98"	"2.2"	"0.833118458899226"
"25"	"1"	"TCGA-06-0125-TP-01-NB-01D-WXS"	"0.87"	"2.4"	"0.8308880360936"
"26"	"1"	"TCGA-DU-6397-R1-12-NB-01D-WXS"	"0.9"	"2.1"	"0.817619897306505"
"27"	"1"	"TCGA-DU-7304-R1-12-NB-01D-WGS"	"0.94"	"2.2"	"0.815784443268867"
"28"	"1"	"GLSS-HF-3081-R2-01-NB-01D-WXS"	"0.94"	"5.2"	"0.81553036854956"
"29"	"1"	"GLSS-SM-R101-TP-01-NB-01D-WXS"	"0.83"	"2.5"	"0.809270232037645"
"30"	"1"	"GLSS-CU-R015-TP-01-NB-01D-WXS"	"0.92"	"2.3"	"0.788135975566452"
"31"	"1"	"GLSS-SU-0001-R1-01-NB-01D-WXS"	"0.91"	"2"	"0.782291509914904"
"32"	"1"	"GLSS-SF-0021-R1-01-NB-01D-WXS"	"0.78"	"4.4"	"0.781963401039124"
"33"	"1"	"GLSS-SF-0008-R1-01-NM-01D-WXS"	"0.86"	"2.1"	"0.781212697488892"
"34"	"1"	"GLSS-HK-0001-R1-01-NB-01D-WGS"	"0.68"	"3.4"	"0.77858227732348"
"35"	"1"	"GLSS-MD-0012-R1-01-NB-01D-WGS"	"0.66"	"2.2"	"0.774026261295587"
"36"	"1"	"GLSS-LU-00C7-R1-01-NB-01D-WXS"	"0.9"	"2.6"	"0.764278360418524"
"37"	"1"	"GLSS-SM-R107-R1-02-NB-01D-WXS"	"0.77"	"3.5"	"0.760147935719869"
"38"	"1"	"TCGA-DU-6407-R2-11-NB-01D-WXS"	"0.86"	"2.3"	"0.756442796303592"
"39"	"1"	"GLSS-CU-R014-TP-01-NB-01D-WXS"	"0.6"	"2.3"	"0.750003938908613"
"40"	"1"	"GLSS-HK-0004-R1-01-NB-01D-WGS"	"0.81"	"1.9"	"0.733831032897875"
"41"	"1"	"GLSS-LU-0B13-R1-01-NB-01D-WXS"	"0.73"	"2.2"	"0.724015462810109"
"42"	"1"	"TCGA-14-1402-TP-01-NB-01D-WGS"	"0.77"	"2.7"	"0.715253484835987"
"43"	"1"	"GLSS-MD-0020-R1-01-NB-01D-WGS"	"0.71"	"3.3"	"0.711045969587398"
"44"	"1"	"GLSS-HK-0004-TP-01-NB-01D-WGS"	"0.95"	"2.1"	"0.710813667760677"
"45"	"1"	"GLSS-DF-0003-TP-01-NB-01D-WXS"	"0.87"	"2.9"	"0.7061389199755"
"46"	"1"	"GLSS-CU-R019-TP-01-NB-01D-WXS"	"0.67"	"2"	"0.699566151656732"
"47"	"1"	"TCGA-06-0211-R1-02-NB-01D-WGS"	"0.73"	"3.1"	"0.697682825674129"
"48"	"1"	"GLSS-CU-R015-R1-01-NB-01D-WXS"	"0.74"	"2.2"	"0.694493064837249"
"49"	"1"	"GLSS-SU-0270-R2-01-NB-01D-WXS"	"0.98"	"2.2"	"0.691049853786725"
"50"	"1"	"GLSS-SM-R105-R2-01-NB-01D-WXS"	"0.91"	"2.6"	"0.686733382912809"
"51"	"1"	"GLSS-SF-0018-R1-01-NB-01D-WXS"	"0.86"	"2"	"0.683403616487374"
"52"	"1"	"GLSS-AT-00P5-R1-01-NB-01D-WXS"	"0.84"	"4.3"	"0.682884569351059"
"53"	"1"	"TCGA-FG-A4MT-TP-11-NB-01D-WGS"	"0.91"	"2"	"0.678188972671138"
"54"	"1"	"GLSS-DF-0013-TP-01-NB-01D-WXS"	"0.65"	"2.8"	"0.674014009833507"
"55"	"1"	"GLSS-SM-R072-TP-01-NB-01D-WXS"	"0.84"	"2.9"	"0.670408979774721"
"56"	"1"	"GLSS-SM-R099-TP-01-NB-01D-WXS"	"0.87"	"2.3"	"0.664226061477724"
"57"	"1"	"GLSS-SF-0024-R2-01-NB-01D-WXS"	"0.76"	"2.3"	"0.66372925486979"
"58"	"1"	"GLSS-SU-0003-TP-01-NB-01D-WXS"	"0.91"	"2"	"0.653969596640992"
"59"	"1"	"GLSS-DK-0013-TP-01-NB-01D-WXS"	"0.92"	"4.3"	"0.652962045893606"
"60"	"1"	"GLSS-MD-0045-R1-01-NB-01D-WGS"	"0.68"	"2.6"	"0.65172226976848"
"61"	"1"	"GLSS-DK-0007-R1-01-NB-01D-WXS"	"0.87"	"2.4"	"0.650094157403871"
"62"	"1"	"TCGA-19-4065-R1-11-NB-01D-WXS"	"0.48"	"2.6"	"0.645324403706516"
"63"	"1"	"GLSS-SF-0005-R1-01-NB-01D-WXS"	"0.78"	"2.1"	"0.643658798158272"
"64"	"1"	"GLSS-HF-3081-TP-01-NB-01D-WXS"	"0.84"	"3.6"	"0.641073599224513"
"65"	"1"	"TCGA-19-1389-R1-21-NB-01D-WGS"	"0.6"	"2"	"0.63564472510659"
"66"	"1"	"TCGA-06-0210-TP-01-NB-01D-WGS"	"0.69"	"2.2"	"0.626366800957297"
"67"	"1"	"GLSS-MD-0082-R1-01-NB-01D-WXS"	"0.9"	"2.2"	"0.623642767749178"
"68"	"1"	"TCGA-DH-A669-R1-11-NB-01D-WXS"	"0.82"	"3.5"	"0.620560394252071"
"69"	"1"	"GLSS-SM-R062-R1-01-NB-01D-WXS"	"0.84"	"4.2"	"0.619771637757128"
"70"	"1"	"GLSS-CU-R012-R1-01-NB-01D-WXS"	"0.89"	"4.3"	"0.612486233234612"
"71"	"1"	"TCGA-DU-6407-R1-12-NB-01D-WGS"	"0.76"	"2.2"	"0.609464321696644"
"72"	"1"	"TCGA-DU-5870-R1-12-NB-01D-WXS"	"0.89"	"2.1"	"0.608661139041511"
"73"	"1"	"TCGA-FG-5965-R1-11-NB-01D-WGS"	"0.68"	"2"	"0.60146780151117"
"74"	"1"	"TCGA-06-0125-R1-11-NB-01D-WGS"	"0.59"	"2.3"	"0.600314014945353"
"75"	"1"	"GLSS-MD-0083-R1-01-NB-01D-WXS"	"0.85"	"2"	"0.59606970499025"
"76"	"1"	"GLSS-HF-3118-TP-01-NB-01D-WXS"	"0.83"	"2.4"	"0.595998670542846"
"77"	"1"	"GLSS-HK-0001-TP-01-NB-01D-WGS"	"0.74"	"3.2"	"0.594343874442069"
"78"	"1"	"GLSS-AT-00P3-R1-01-NB-01D-WXS"	"0.78"	"2.8"	"0.591416566845552"
"79"	"1"	"GLSS-AT-GP01-R1-02-NB-01D-WXS"	"0.73"	"2"	"0.590519315352019"
"80"	"1"	"GLSS-MD-0042-R1-01-NB-01D-WGS"	"0.71"	"2"	"0.589999726233986"
"81"	"1"	"GLSS-MD-0138-R1-01-NB-01D-WXS"	"0.84"	"3.5"	"0.58723807575023"
"82"	"1"	"GLSS-SM-R110-TP-01-NB-01D-WXS"	"0.74"	"2"	"0.586059173752215"
"83"	"1"	"GLSS-DK-0014-TP-01-NB-01D-WXS"	"0.9"	"4.4"	"0.585149959745957"
"84"	"1"	"TCGA-14-1034-TP-01-NB-01D-WGS"	"0.7"	"2.1"	"0.584832490301055"
"85"	"1"	"TCGA-06-0190-TP-01-NB-01D-WGS"	"0.59"	"2.1"	"0.58384485350811"
"86"	"1"	"GLSS-MD-0036-R1-01-NB-01D-WGS"	"0.68"	"2.8"	"0.582761453006422"
"87"	"1"	"GLSS-MD-0023-R1-01-NB-01D-WGS"	"0.65"	"2.3"	"0.581688487506738"
"88"	"1"	"GLSS-CU-R008-TP-01-NB-01D-WXS"	"0.88"	"2.3"	"0.581574487958897"
"89"	"1"	"GLSS-DK-0002-R1-01-NB-01D-WXS"	"0.74"	"3.9"	"0.581086668614745"
"90"	"1"	"GLSS-SM-R100-TP-01-NB-01D-WXS"	"0.52"	"1.9"	"0.57861953607106"
"91"	"1"	"GLSS-DF-0007-TP-01-NB-01D-WXS"	"0.64"	"2.1"	"0.577344810109162"
"92"	"1"	"TCGA-06-0152-TP-02-NB-01D-WGS"	"0.38"	"6.8"	"0.576777153802402"
"93"	"1"	"TCGA-DU-6397-R1-12-NB-01D-WGS"	"0.9"	"2"	"0.572283587609311"
"94"	"1"	"GLSS-LU-0B13-TP-01-NB-01D-WXS"	"0.65"	"2.4"	"0.5710823224389"
"95"	"1"	"GLSS-CU-R013-TP-01-NB-01D-WXS"	"0.58"	"2"	"0.56929134152823"
"96"	"1"	"GLSS-CU-R001-TP-01-NB-01D-WXS"	"0.62"	"2.3"	"0.568980929867917"
"97"	"1"	"TCGA-DU-6397-TP-11-NB-01D-WGS"	"0.8"	"2"	"0.563785532691438"
"98"	"1"	"TCGA-DU-5870-R1-12-NB-01D-WGS"	"0.9"	"2"	"0.560108837870692"
"99"	"1"	"GLSS-SM-R064-R2-01-NB-01D-WXS"	"0.67"	"2.1"	"0.559082844993332"
"100"	"1"	"GLSS-MD-0038-R1-01-NB-01D-WGS"	"0.65"	"2.1"	"0.555530855864647"
"101"	"1"	"GLSS-DK-0003-R1-01-NB-01D-WXS"	"0.46"	"5.9"	"0.551360752867127"
"102"	"1"	"TCGA-DU-7304-R1-12-NB-01D-WXS"	"0.94"	"2.6"	"0.550121351629041"
"103"	"1"	"GLSS-SF-0015-R1-01-NM-01D-WXS"	"0.88"	"1.9"	"0.548143393659532"
"104"	"1"	"GLSS-MG-0009-R1-01-NM-01D-WXS"	"0.9"	"2.5"	"0.547231715148269"
"105"	"1"	"TCGA-06-0221-R1-11-NB-01D-WGS"	"0.8"	"2.1"	"0.546247030123473"
"106"	"1"	"GLSS-DF-0014-TP-01-NB-01D-WXS"	"0.92"	"5.7"	"0.545541260171273"
"107"	"1"	"GLSS-MG-0007-R2-01-NB-01D-WXS"	"0.73"	"1.8"	"0.54539424750671"
"108"	"1"	"GLSS-SM-R097-TP-01-NB-01D-WXS"	"0.91"	"4.1"	"0.545237545991509"
"109"	"1"	"GLSS-SM-R060-R1-01-NB-01D-WXS"	"0.71"	"2.6"	"0.542529648471832"
"110"	"1"	"GLSS-SM-R102-TP-01-NB-01D-WXS"	"0.86"	"2.3"	"0.542509775863259"
"111"	"1"	"GLSS-SM-R056-TP-01-NB-01D-WXS"	"0.87"	"2.3"	"0.541017642500318"
"112"	"1"	"GLSS-DK-0005-R1-01-NB-01D-WXS"	"0.61"	"2.4"	"0.54047568765187"
"113"	"1"	"GLSS-19-0271-TP-02-NB-03D-WXS"	"0.85"	"2.1"	"0.539899664707404"
"114"	"1"	"TCGA-DU-5870-TP-11-NB-01D-WGS"	"0.77"	"2"	"0.538908559848126"
"115"	"1"	"GLSS-SM-R104-TP-01-NB-01D-WXS"	"0.55"	"2"	"0.536153327795648"
"116"	"1"	"GLSS-SU-0002-R2-01-NB-01D-WXS"	"0.89"	"2.1"	"0.535279104827453"
"117"	"1"	"TCGA-14-1402-R1-02-NB-01D-WXS"	"0.82"	"2"	"0.532301948995185"
"118"	"1"	"GLSS-HK-0004-TP-01-NB-01D-WXS"	"0.91"	"4.3"	"0.532084183282612"
"119"	"1"	"GLSS-SM-R101-TP-02-NB-01D-WXS"	"0.78"	"2.1"	"0.527703539337992"
"120"	"1"	"GLSS-MD-0023-TP-01-NB-01D-WGS"	"0.79"	"3.5"	"0.526632593003994"
"121"	"1"	"GLSS-LU-0B12-TP-01-NB-01D-WXS"	"0.49"	"2.9"	"0.525086983396524"
"122"	"1"	"GLSS-MD-0038-TP-01-NB-01D-WGS"	"0.62"	"2.5"	"0.521992792981143"
"123"	"1"	"GLSS-MD-0045-TP-01-NB-01D-WGS"	"0.91"	"2.3"	"0.518031682482668"
