array	sample	call.status	purity	ploidy	Genome.doublings	Coverage.for.80..power	Cancer.DNA.fraction	Subclonal.genome.fraction	solution
TCGA-02-0003-01	TCGA-02-0003-01A-01D-0182-01	called	0.9	1.96	0	9	0.9	0.01	new
TCGA-02-0033-01	TCGA-02-0033-01A-01D-0182-01	called	0.45	1.94	0	18	0.44	0.13	new
TCGA-02-0047-01	TCGA-02-0047-01A-01D-0182-01	called	0.69	1.99	0	12	0.69	0.14	new
TCGA-02-2483-01	TCGA-02-2483-01A-01D-0784-01	called	0.73	1.96	0	11	0.72	0.4	new
TCGA-02-2485-01	TCGA-02-2485-01A-01D-0784-01	called	0.87	3.96	1	18	0.93	0.03	new
TCGA-02-2486-01	TCGA-02-2486-01A-01D-0784-01	called	0.72	1.9	0	11	0.71	0	new
TCGA-06-0122-01	TCGA-06-0122-01A-01D-0214-01	called	0.73	1.95	0	11	0.72	0.01	new
TCGA-06-0124-01	TCGA-06-0124-01A-01D-0214-01	called	0.61	1.96	0	13	0.6	0	new
TCGA-06-0125-01	TCGA-06-0125-01A-01D-0214-01	called	0.9	2.04	0	9	0.9	0	new
TCGA-06-0126-01	TCGA-06-0126-01A-01D-0214-01	called	0.82	2.03	0	10	0.82	0.01	new
TCGA-06-0128-01	TCGA-06-0128-01A-01D-0214-01	called	0.85	1.98	0	9	0.85	0.51	new
TCGA-06-0129-01	TCGA-06-0129-01A-01D-0214-01	called	0.76	3.82	1	18	0.86	0.09	new
TCGA-06-0130-01	TCGA-06-0130-01A-01D-0214-01	called	0.27	3.46	1	47	0.4	0.3	new
TCGA-06-0132-01	TCGA-06-0132-01A-02D-0236-01	called	0.28	1.91	0	37	0.27	0.05	new
TCGA-06-0141-01	TCGA-06-0141-01A-01D-0214-01	called	0.2	2.09	0	54	0.21	0.31	new
TCGA-06-0145-01	TCGA-06-0145-01A-05D-0214-01	called	0.82	2.02	0	10	0.82	0.01	new
TCGA-06-0152-01	TCGA-06-0152-01A-02D-0310-01	called	0.67	3.78	1	20	0.79	0.03	new
TCGA-06-0154-01	TCGA-06-0154-01A-03D-0236-01	called	0.71	1.99	0	11	0.7	0.01	new
TCGA-06-0155-01	TCGA-06-0155-01B-01D-0517-01	called	0.79	2.02	0	10	0.79	0	new
TCGA-06-0157-01	TCGA-06-0157-01A-01D-0236-01	called	0.82	2.03	0	10	0.82	0.03	new
TCGA-06-0158-01	TCGA-06-0158-01A-01D-0236-01	called	0.79	1.96	0	10	0.79	0.07	new
TCGA-06-0166-01	TCGA-06-0166-01A-01D-0236-01	called	0.58	1.76	0	13	0.55	0.39	new
TCGA-06-0168-01	TCGA-06-0168-01A-02D-0236-01	called	0.67	2.02	0	12	0.68	0.01	new
TCGA-06-0169-01	TCGA-06-0169-01A-01D-0214-01	called	0.55	2.01	0	15	0.55	0	new
TCGA-06-0171-01	TCGA-06-0171-01A-02D-0236-01	called	0.67	1.88	0	12	0.65	0.09	new
TCGA-06-0173-01	TCGA-06-0173-01A-01D-0236-01	called	0.86	2.05	0	9	0.87	0.17	new
TCGA-06-0174-01	TCGA-06-0174-01A-01D-0236-01	called	0.95	2.02	0	8	0.95	0.17	new
TCGA-06-0184-01	TCGA-06-0184-01A-01D-0236-01	called	0.62	1.74	0	12	0.58	0.9	new
TCGA-06-0185-01	TCGA-06-0185-01A-01D-0236-01	called	0.79	4.04	1	19	0.88	0.04	new
TCGA-06-0187-01	TCGA-06-0187-01A-01D-0236-01	called	0.84	1.98	0	9	0.84	0.08	new
TCGA-06-0188-01	TCGA-06-0188-01A-01D-0236-01	called	0.82	1.91	0	9	0.81	0.59	new
TCGA-06-0190-01	TCGA-06-0190-01A-01D-0236-01	called	0.57	1.94	0	14	0.57	0.1	new
TCGA-06-0192-01	TCGA-06-0192-01B-01D-0333-01	called	0.57	2.05	0	14	0.58	0.4	new
TCGA-06-0195-01	TCGA-06-0195-01B-01D-0236-01	called	0.69	3.23	1	17	0.78	0.2	new
TCGA-06-0210-01	TCGA-06-0210-01B-01D-0236-01	called	0.45	1.96	0	18	0.45	0	new
TCGA-06-0211-01	TCGA-06-0211-01B-01D-0236-01	called	0.86	2.04	0	9	0.87	0.13	new
