variate	 	univ HR (95% CI for HR)	univ p value	multiv HR (95% CI for HR)	multiv p value
non_neutral_genome_frac os	 	1.1721 (1.0881-1.2625)	<0.0001	1.1051 (1.0113-1.2076)	0.027224031643
non_neutral_genome_frac dss	 	1.1837 (1.0951-1.2794)	<0.0001	1.1147 (1.0153-1.2239)	0.0226384537218139
non_neutral_genome_frac pfi	 	1.0856 (1.0154-1.1606)	0.0161040255596241	1.0905 (1.0097-1.1778)	0.02744204720412
subclo_genome_frac os	 	1.154 (1.0218-1.3033)	0.0210376240589782	1.0478 (0.906697495929235-1.2109)	0.526845180735099
subclo_genome_frac dss	 	1.1604 (1.0212-1.3187)	0.0225257525934333	1.0419 (0.892352731326562-1.2166)	0.603468134265184
subclo_genome_frac pfi	 	1.0567 (0.950702665175217-1.1746)	0.3063296550923	1.0351 (0.91835904386264-1.1668)	0.571690111518176
clo_genome_frac os	 	1.2695 (1.1336-1.4218)	<0.0001	1.2061 (1.062-1.3698)	0.0038843861940123
clo_genome_frac dss	 	1.2966 (1.1524-1.4588)	<0.0001	1.2385 (1.083-1.4164)	0.001780477563066
clo_genome_frac pfi	 	1.1858 (1.0667-1.3182)	0.00160536776034843	1.2191 (1.086-1.3684)	0.000781593271775564
non_neutral_genome_frac os	 	1.1515 (1.0404-1.2744)	0.00641682588252881	1.1187 (1.0042-1.2463)	0.0417548685262009
non_neutral_genome_frac dss	 	1.1635 (1.0436-1.2972)	0.00634342872878157	1.1309 (1.0069-1.2703)	0.0379539868521725
non_neutral_genome_frac pfi	 	1.0533 (0.968678053153912-1.1452)	0.224392778487627	1.0763 (0.982264593769764-1.1793)	0.114951377675533
subclo_genome_frac os	 	1.1002 (0.919842864771208-1.3159)	0.295910371932361	1.0799 (0.902378671559565-1.2923)	0.401545613715743
subclo_genome_frac dss	 	1.1009 (0.904772681343503-1.3395)	0.336965210430475	1.0747 (0.879825771684423-1.3128)	0.480286292183428
subclo_genome_frac pfi	 	1.0166 (0.886757352184883-1.1655)	0.812979287524837	1.0175 (0.877831571765645-1.1793)	0.81817507942296
clo_genome_frac os	 	1.2721 (1.089-1.4859)	0.00239727967856666	1.2211 (1.0309-1.4464)	0.0207977092286708
clo_genome_frac dss	 	1.302 (1.1054-1.5335)	0.00158026977591461	1.2524 (1.0484-1.4963)	0.0131242103158045
clo_genome_frac pfi	 	1.1406 (1.004-1.2959)	0.0432992220697195	1.1908 (1.0357-1.3691)	0.0141545259498497
non_neutral_genome_frac os	 	1.094 (0.969168432879812-1.2349)	0.146133058893172	1.0509 (0.892535989128726-1.2374)	0.551254637734652
non_neutral_genome_frac dss	 	1.1063 (0.97716428485802-1.2524)	0.110684083326307	1.0837 (0.904886180131239-1.2978)	0.382410715162683
non_neutral_genome_frac pfi	 	1.0797 (0.947167265609042-1.2308)	0.251103489308156	1.0903 (0.920585315637629-1.2913)	0.316592374619398
subclo_genome_frac os	 	1.0522 (0.87061552806758-1.2717)	0.598452646463289	0.93600840076756 (0.738670817375962-1.1861)	0.58408943021386
subclo_genome_frac dss	 	1.0574 (0.870392847520289-1.2847)	0.573940013397155	0.955849776098489 (0.74926715367889-1.2194)	0.716270982776822
subclo_genome_frac pfi	 	1.005 (0.82008831589366-1.2315)	0.961921370418971	0.991104725481149 (0.786584058129345-1.2488)	0.939600659626327
clo_genome_frac os	 	1.2009 (1.0111-1.4264)	0.0370026148217739	1.2902 (1.0106-1.6471)	0.0409222998014314
clo_genome_frac dss	 	1.2408 (1.0339-1.4891)	0.0204114252214626	1.3442 (1.0399-1.7375)	0.0238798455379187
clo_genome_frac pfi	 	1.2533 (1.0454-1.5027)	0.0147031622205324	1.2779 (1.0292-1.5869)	0.0264063306133967
non_neutral_genome_frac os	 	0.978678671345398 (0.920552499315626-1.0405)	0.490268862331685	0.974882122401031 (0.913539439894068-1.0403)	0.442975171175689
non_neutral_genome_frac dss	 	0.986158915151214 (0.919877813965105-1.0572)	0.694596665649085	0.986875222154608 (0.916474657198194-1.0627)	0.726428168843996
non_neutral_genome_frac pfi	 	0.938687992551524 (0.882263372860943-0.998721214622256)	0.0454549191206021	0.944640789177454 (0.883969889642723-1.0095)	0.0926654918003131
subclo_genome_frac os	 	0.983861744597525 (0.893087884163268-1.0839)	0.741834948623976	0.969519134103706 (0.878848964003475-1.0695)	0.536634703524313
subclo_genome_frac dss	 	0.97586891628836 (0.864590675123846-1.1015)	0.692522383032005	0.986682637826381 (0.869983820978263-1.119)	0.834638762469995
subclo_genome_frac pfi	 	0.918573200025278 (0.834296804479721-1.0114)	0.0836582277242718	0.928025467025409 (0.840435825181468-1.0247)	0.139745971689482
clo_genome_frac os	 	0.994766639070166 (0.918738472150269-1.0771)	0.897081260556929	0.994805590293345 (0.911089109714973-1.0862)	0.907560390932888
clo_genome_frac dss	 	1.0081 (0.928022214334902-1.095)	0.848858417345205	1.0006 (0.912274928120648-1.0975)	0.989455399855004
clo_genome_frac pfi	 	0.969725529277845 (0.897153106222534-1.0482)	0.438574790883115	0.979952543354703 (0.901254195345116-1.0655)	0.635417041256132
