variate	 	univ HR (95% CI for HR)	univ p value	multiv HR (95% CI for HR)	multiv p value
non_neutral_genome_frac os	 	1.2221 (1.1106-1.3448)	<0.0001	1.1411 (1.026-1.269)	0.0149466790708624
non_neutral_genome_frac dss	 	1.2284 (1.1142-1.3544)	<0.0001	1.1501 (1.0309-1.2832)	0.0122497777830376
non_neutral_genome_frac pfi	 	1.1394 (1.0489-1.2378)	0.00200680112238	1.1379 (1.0352-1.2507)	0.00740741237096986
subclo_genome_frac os	 	1.3171 (1.0458-1.6588)	0.0192530787742329	1.0879 (0.84095562247171-1.4073)	0.521314613525301
subclo_genome_frac dss	 	1.3306 (1.0512-1.6843)	0.0175423762912235	1.0828 (0.827957179879687-1.4161)	0.561250969328677
subclo_genome_frac pfi	 	1.1544 (0.969903601956823-1.3741)	0.10607098981139	1.1093 (0.914417245788918-1.3458)	0.292591780258788
clo_genome_frac os	 	1.2784 (1.1353-1.4395)	<0.0001	1.2261 (1.0754-1.3981)	0.00232393196023418
clo_genome_frac dss	 	1.2904 (1.1425-1.4575)	<0.0001	1.2439 (1.086-1.4246)	0.00161898224009156
clo_genome_frac pfi	 	1.2174 (1.0869-1.3636)	0.000671318963547289	1.232 (1.0882-1.3949)	0.000989295885819684
non_neutral_genome_frac os	 	1.2323 (1.0878-1.3961)	0.00103453818565228	1.1906 (1.0445-1.357)	0.00897902652651593
non_neutral_genome_frac dss	 	1.2356 (1.0889-1.4019)	0.00103014324358256	1.1977 (1.0477-1.3692)	0.00821526057938888
non_neutral_genome_frac pfi	 	1.1388 (1.0298-1.2594)	0.0113106128918976	1.1631 (1.0408-1.2997)	0.00767803933697977
subclo_genome_frac os	 	1.4185 (0.990804579841021-2.0308)	0.0561966758591697	1.3555 (0.978998423431568-1.8768)	0.066933313602794
subclo_genome_frac dss	 	1.4831 (1.0214-2.1534)	0.0383422676167351	1.3723 (0.981731261288414-1.9184)	0.0640146437525911
subclo_genome_frac pfi	 	1.2066 (0.943543435125726-1.543)	0.134439492102725	1.2022 (0.941921168632158-1.5345)	0.139038504645591
clo_genome_frac os	 	1.3139 (1.1184-1.5435)	0.000896691956981523	1.2782 (1.0712-1.5251)	0.00646512730207074
clo_genome_frac dss	 	1.3161 (1.1164-1.5516)	0.00106901288808154	1.2858 (1.0741-1.5392)	0.00617533120039803
clo_genome_frac pfi	 	1.1979 (1.047-1.3704)	0.00855587061356973	1.2348 (1.0607-1.4374)	0.00652863741040443
non_neutral_genome_frac os	 	1.1124 (0.943648180324347-1.3114)	0.204419006171911	1.0496 (0.852977979186832-1.2916)	0.647321975894121
non_neutral_genome_frac dss	 	1.1302 (0.95285655477956-1.3405)	0.159894599316826	1.0912 (0.867162890965694-1.373)	0.45673784735359
non_neutral_genome_frac pfi	 	1.0745 (0.907543691518413-1.2721)	0.404463787275375	1.1099 (0.887837416126755-1.3876)	0.359889187426812
subclo_genome_frac os	 	1.0022 (0.708559562807455-1.4175)	0.990171954745007	0.717177251956672 (0.419064982856422-1.2274)	0.225262232375724
subclo_genome_frac dss	 	0.990120846779022 (0.684325914079478-1.4326)	0.957988050592029	0.716643495248863 (0.402337155720976-1.2765)	0.257980961797732
subclo_genome_frac pfi	 	0.965146313616818 (0.705433174819681-1.3205)	0.824460367187839	0.940340396674753 (0.641461315511922-1.3785)	0.752605577309424
clo_genome_frac os	 	1.1739 (0.983162883228063-1.4017)	0.0763497366753175	1.2476 (0.9719975500633-1.6014)	0.0823914786696188
clo_genome_frac dss	 	1.2109 (1.0042-1.4601)	0.0451245528215557	1.3031 (0.997422325427598-1.7025)	0.052253339628019
clo_genome_frac pfi	 	1.2012 (0.988961108138132-1.459)	0.064592190778293	1.2461 (0.98576399004122-1.5752)	0.0657608081039809
non_neutral_genome_frac os	 	1.0148 (0.93804846280028-1.0979)	0.714075361581923	0.992681521972743 (0.911725082754383-1.0808)	0.865615108399233
non_neutral_genome_frac dss	 	1.0579 (0.954250024679424-1.1728)	0.284667956360325	1.0693 (0.952848077423992-1.2)	0.254728949936591
non_neutral_genome_frac pfi	 	0.913521990468829 (0.829551070863002-1.006)	0.0659868934472952	0.915183821116197 (0.825290856281098-1.0149)	0.0929222470104764
subclo_genome_frac os	 	0.98489490018937 (0.882347558243234-1.0994)	0.786144993828301	0.970032364025685 (0.869648830243477-1.082)	0.585138023853832
subclo_genome_frac dss	 	0.961875561924176 (0.828154125215422-1.1172)	0.610779873780182	1.0118 (0.865665671972971-1.1827)	0.882490405129123
subclo_genome_frac pfi	 	0.9039098877674 (0.804631888203979-1.0154)	0.0887751436620888	0.92251277395091 (0.818365244921316-1.0399)	0.186966111642103
clo_genome_frac os	 	1.0763 (0.971176302901727-1.1929)	0.160818592549533	1.0673 (0.946090554896845-1.204)	0.289627196378078
clo_genome_frac dss	 	1.1204 (1.0069-1.2467)	0.0370193370723012	1.1193 (0.982623733869355-1.2749)	0.0898703717688851
clo_genome_frac pfi	 	0.993423344546992 (0.888936629023638-1.1102)	0.907357369126591	0.989573028152591 (0.876440285711871-1.1173)	0.865626006059209
