baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000105976	1881.50715526553	3.26638447888245	0.524730688525929	6.22487792367998	4.81931108676667e-10	8.06270744816063e-06	MET
ENSG00000241644	332.480107919585	-2.59642200642636	0.434696251361879	-5.97295697465051	2.32991363525783e-09	1.94897275589318e-05	INMT
ENSG00000168447	255.053993245009	3.01345755424908	0.51738348931511	5.82441770269508	5.7312070846801e-09	2.68368102804965e-05	SCNN1B
ENSG00000240771	3959.59075559522	2.03243443094525	0.350086224840569	5.80552528700845	6.41645194990951e-09	2.68368102804965e-05	ARHGEF25
ENSG00000135446	23849.2152218246	2.64980724937204	0.493261974977859	5.37200794667171	7.78646765487457e-08	0.000260535207732103	CDK4
ENSG00000135506	23193.8463061248	1.67851384222128	0.32063180201534	5.23501983169147	1.64967150057758e-07	0.000459983403411048	OS9
ENSG00000158887	255.333758330825	1.4884203959268	0.291356014041407	5.10859678261272	3.24560145179864e-07	0.000775698746979874	MPZ
ENSG00000166908	3323.60446325237	1.49730094165787	0.303776143753913	4.92896158057372	8.26678274411836e-07	0.00153670305899	PIP4K2C
ENSG00000178498	10261.9888157872	1.78286347740664	0.360566918852846	4.94461189916944	7.62957073611453e-07	0.00153670305899	DTX3
ENSG00000135454	2247.80093409811	1.69788246189572	0.353589627748143	4.80184464886255	1.57210641022166e-06	0.00219177835358403	B4GALNT1
ENSG00000135679	12969.2948385167	2.03587398900803	0.420792487695579	4.83818995951486	1.31026885119543e-06	0.00219177835358403	MDM2
ENSG00000138759	268.677229244361	-2.288096447749	0.475364145711547	-4.81335512657159	1.48417204722832e-06	0.00219177835358403	FRAS1
ENSG00000198838	1159.97100752399	-1.73198293760159	0.363672857452122	-4.76247512595743	1.91232775719625e-06	0.00246101872137641	RYR3
ENSG00000164619	753.63076340497	1.61237213325328	0.349141056745212	4.61811093855376	3.87249217489534e-06	0.00422343396867957	BMPER
ENSG00000185664	48.8505375941176	1.36803617509927	0.29644402406003	4.61482122784248	3.93433823814979e-06	0.00422343396867957	PMEL
ENSG00000198028	24.5090927821381	2.38403287651372	0.517215847941098	4.60935774880823	4.03914784810957e-06	0.00422343396867957	ZNF560
ENSG00000197614	95.1887281594019	2.28244559104951	0.50913258573762	4.48300826737057	7.35980768626695e-06	0.00724291662301448	MFAP5
ENSG00000183145	15.6565930896603	2.20210391891628	0.496456522697966	4.43564303868759	9.17978535133242e-06	0.00852342556729567	RIPPLY3
ENSG00000185559	227.999215334955	2.91404254204964	0.662448348664074	4.39889773735001	1.08802076696427e-05	0.00910129371565609	DLK1
ENSG00000175471	391.863879596261	-1.11544499538196	0.257054360558656	-4.33933504554352	1.4291449369671e-05	0.0113855213311712	MCTP1
ENSG00000127252	468.269062913922	1.51103730857251	0.351086472072843	4.30388929442717	1.67825548215667e-05	0.0127623700984005	PLAAT1
ENSG00000080644	37.8136292074688	1.7299845396288	0.411331200599618	4.20581890483124	2.60138480837671e-05	0.0189222468887575	CHRNA3
ENSG00000253304	79.0117173206902	1.20024289311058	0.291440475846817	4.11831228872078	3.81657267307683e-05	0.0255405043282301	TMEM200B
ENSG00000135452	11804.2197129198	1.89692925509757	0.462916741374319	4.09777630738937	4.17138096483577e-05	0.026841232131424	TSPAN31
ENSG00000171476	18891.4261087013	-1.823162471436	0.446170237330652	-4.08624851882461	4.38404189328982e-05	0.0271648225461995	HOPX
ENSG00000114737	388.025192402831	1.32957890928623	0.328601636228195	4.04617251620413	5.20618714466843e-05	0.029033170310101	CISH
ENSG00000205426	9.19459008268491	1.94832741462802	0.481012111282148	4.05047475714221	5.1113823597087e-05	0.029033170310101	KRT81
ENSG00000144481	328.117219037382	1.75065859908586	0.434958350730723	4.02488789132289	5.70024646322646e-05	0.030762943009606	TRPM8
ENSG00000196169	294.983868483104	-1.85131866268251	0.461301223688938	-4.01325330957907	5.98875860683402e-05	0.0313099785913541	KIF19
ENSG00000170745	233.216196975283	1.26676659350691	0.317090200331052	3.99497238383392	6.47017943545383e-05	0.0318370888103361	KCNS3
ENSG00000147883	765.775286862156	1.84809785593808	0.466969552258292	3.95764102177662	7.56935998859174e-05	0.0361815407454685	CDKN2B
ENSG00000166828	73.8943947652447	2.20436438593699	0.558743894360469	3.94521427112877	7.9728651892578e-05	0.0370516762823008	SCNN1G
ENSG00000147889	1565.20247950131	2.50031222109862	0.639998271149959	3.90674839887618	9.3546470850032e-05	0.0422981745221901	CDKN2A
