clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Del_1p36.32	NA	NA	NA	NA	NA	NA	0.864281148454038	0.864374839681047	0.852429920040497	NA	NA	NA	NA	NA	NA	0.654004315898192	0.655588635753782	0.963412709820018	NA	NA	NA	NA	NA	NA	0.944237218983521	0.944733049101372	0.902279844800807
Del_1p36.23	NA	NA	NA	NA	NA	NA	0.864281148454038	0.864374839681047	0.852429920040497	NA	NA	NA	NA	NA	NA	0.654004315898192	0.655588635753782	0.963412709820018	NA	NA	NA	NA	NA	NA	0.944237218983521	0.944733049101372	0.902279844800807
Amp_1p36.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1p32.3	NA	NA	NA	NA	NA	NA	0.173630523001325	0.192089423580597	0.92698018938087	NA	NA	NA	NA	NA	NA	0.0979188924088525	0.119896090794892	0.616465538566327	NA	NA	NA	NA	NA	NA	0.26014959802279	0.269639331596763	0.392957565721418
Del_1p22.1	NA	NA	NA	NA	NA	NA	0.208458887655563	0.220009629887603	0.425260085616999	NA	NA	NA	NA	NA	NA	0.108863189928607	0.123974418882672	0.772846464515574	NA	NA	NA	NA	NA	NA	0.26526279784779	0.272435364571194	0.745909512756336
Amp_1q22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_1q32.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1q42.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_1q44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1q44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_2p24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_2q22.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_2q37.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_3p21.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_3q13.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_3q26.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_3q29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_4p16.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_4q12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_4q34.3	0.732040293165614	0.733405037072848	0.49604425007076	0.0850459031486607	0.100207971284983	0.0519969486598142	0.15642679532696	0.195780952673646	0.145265501168037	0.259804982712858	0.998182891132361	0.379303550984158	0.347953751432641	0.357931894781924	0.437350932239822	0.0886459391333037	0.999411589528371	0.177265946056691	0.0995124642561872	0.107304305206367	0.0319951218580387	0.835187594227795	0.839900397966556	0.897850106246994	0.283920405531471	0.309006020207003	0.936238200449794
Del_5p15.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_5p15.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_5q34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_6p25.3	0.231041478838935	0.257677930132949	0.61947237626854	NA	NA	NA	NA	NA	NA	0.271719557257287	0.295238871089124	0.612451514302316	NA	NA	NA	NA	NA	NA	0.537515034627534	0.53864714773591	0.756287980503717	NA	NA	NA	NA	NA	NA
Del_6q22.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_6q26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_7p11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_7q11.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_7q21.2	0.279229239694961	0.285305429988091	0.0272629375456834	NA	NA	NA	NA	NA	NA	0.548986522177928	0.55099271416882	0.148408211059736	NA	NA	NA	NA	NA	NA	0.413356136879072	0.416697975245782	0.0850741671436094	NA	NA	NA	NA	NA	NA
Amp_7q31.2	0.576048155975354	0.577923660081429	0.0967827716149766	NA	NA	NA	NA	NA	NA	0.968042441638437	0.96804362180295	0.375456400281701	NA	NA	NA	NA	NA	NA	0.582178066382727	0.58367845995074	0.160845834887307	NA	NA	NA	NA	NA	NA
Amp_7q32.3	0.584279313025143	0.58605052084888	0.100028560864159	NA	NA	NA	NA	NA	NA	0.977111510434298	0.977111933728588	0.381778810255613	NA	NA	NA	NA	NA	NA	0.588102041181361	0.589557434667522	0.164863840679958	NA	NA	NA	NA	NA	NA
Del_8p23.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_8q24.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_8q24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_9p21.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_9q34.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_10p15.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_10p15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_10p13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_10q23.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_10q26.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_11p15.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_11p15.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_11p13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_11p11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_11q24.1	0.0767989086206862	0.0922028777809751	0.211224148988175	NA	NA	NA	NA	NA	NA	0.0383203156473249	0.053047350755057	0.0406330292162075	NA	NA	NA	NA	NA	NA	0.00193977966050607	0.0039671725788802	4.0633228773708e-06	NA	NA	NA	NA	NA	NA
Amp_12p13.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_12p13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_12q12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_12q14.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_12q15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_12q15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_13q14.2	0.189185848070333	0.206675091336624	0.138142458114554	NA	NA	NA	NA	NA	NA	0.620205025035844	0.624072869886524	0.812110660060167	NA	NA	NA	NA	NA	NA	0.525010574204802	0.52815169495232	0.468466833686238	NA	NA	NA	NA	NA	NA
