clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Del_1p36.32	NA	NA	NA	0.285545454309024	0.295614836115913	0.526361483733384	NA	NA	NA	NA	NA	NA	0.38166991422134	0.38830291788	0.602583809609588	NA	NA	NA	NA	NA	NA	0.548226512213499	0.550176183784501	0.320483992924087	NA	NA	NA
Del_1p36.23	NA	NA	NA	0.29225634091936	0.302057400514695	0.535097933202864	NA	NA	NA	NA	NA	NA	0.390862088684012	0.397200371611225	0.614049070076568	NA	NA	NA	NA	NA	NA	0.567725479232049	0.56942109666598	0.349833555730755	NA	NA	NA
Amp_1p36.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1p32.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1p22.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_1q22	NA	NA	NA	0.239480734193555	0.253515057627665	0.624790241022012	NA	NA	NA	NA	NA	NA	0.178354081319265	0.195344704913762	0.995308808655392	NA	NA	NA	NA	NA	NA	0.9230985033987	0.923963158792772	0.387489453994521	NA	NA	NA
Amp_1q32.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1q42.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_1q44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_1q44	0.635550163267634	0.63704342844423	0.3978897095455	NA	NA	NA	NA	NA	NA	0.717992013664584	0.718562464678436	0.510835184188828	NA	NA	NA	NA	NA	NA	0.34181432082064	0.346624196617281	0.425557551926182	NA	NA	NA	NA	NA	NA
Amp_2p24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_2q22.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_2q37.1	0.523716440187566	0.525037184232858	0.475614882960466	0.75243217445289	0.753103953570252	0.51662314823671	0.560783309514871	0.562742082710228	0.550627347230423	0.735774919951212	0.736406469030879	0.206640338767551	0.64244712383056	0.643749879906103	0.415162108172187	0.841423071642513	0.841528332780836	0.779157902459829	0.935644504471969	0.935814952269882	0.488805513544828	0.866296282132824	0.866926440352695	0.855936742955294	0.767321382571923	0.767524192961112	0.854666033418438
Del_3p21.31	0.199634078442619	0.207820268900397	0.186503971249961	0.383194175175675	0.384347164777855	0.0814312173556518	0.85220978174741	0.85230154150458	0.375888085759083	0.155285015191404	0.164596346553941	0.131515649689805	0.867857896903798	0.865038565705092	0.380795649479558	0.534431423512848	0.538074280721577	0.84469999419725	6.78289871863802e-05	0.000210052252214179	6.7119938106846e-15	0.339914934762908	0.342861477452147	0.299834098035492	0.198807466482134	0.206178538569206	0.263851515588461
Del_3q13.31	0.433661783673874	0.437386373443805	0.497160925509436	NA	NA	NA	NA	NA	NA	0.290702715136103	0.297435661483745	0.272328854456032	NA	NA	NA	NA	NA	NA	0.117798446098496	0.123046490307172	0.0160050712472996	NA	NA	NA	NA	NA	NA
Amp_3q26.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_3q29	0.0174842812333171	0.0221032872854843	0.00917186278650596	0.0903003857288291	0.0980201862390925	0.0137123529390369	0.673546828894046	0.674237684150988	0.921954716836409	0.149513982326954	0.157756496968381	0.198353749753101	0.233757682069969	0.241961144420628	0.0690297046773831	0.99505592564359	0.995055929140447	0.98625272042945	0.438522778827979	0.440261899245417	0.389208016007099	0.102545297503036	0.106665941685284	0.0259755674503436	0.660246363231654	0.660803271217914	0.912498093565483
Amp_4p16.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_4q12	0.0190483089459269	0.0267671604288226	0.000442463536332898	NA	NA	NA	NA	NA	NA	0.00781515689028445	0.0133409794631517	1.14522565409827e-05	NA	NA	NA	NA	NA	NA	0.448134762243826	0.449739456718736	0.355124016566321	NA	NA	NA	NA	NA	NA
Del_4q34.3	0.431276780454065	0.433832664185422	0.534837484337524	0.724784213093277	0.725561572625079	0.564646957897001	0.650603655015731	0.65126594013351	0.208275619535033	0.144002711334572	0.15142004929857	0.147904513154632	0.892180409517008	0.891582683953229	0.350890072919171	0.378232927850547	0.382753036281613	0.150361533401621	0.46617506038708	0.466914632379064	0.451427084056231	0.946774005111567	0.946499253644336	0.96992513415916	0.512637111234271	0.513795759974559	0.543189507175013
Del_5p15.33	0.872652204170326	0.870959605082199	0.636256875205627	0.996287611102552	0.996287612854971	0.702266835793401	0.863856232007309	0.86396586360109	0.639923144371217	0.676635100620061	0.675264390927417	0.976639010369911	0.795115235967001	0.795695095583279	0.481840609039429	0.645078130910691	0.648442599741247	0.944945727496425	0.08566945253125	0.0904602103041668	0.0103762588877676	0.264656710756844	0.272867856089368	0.342521570780096	0.0592822808493116	0.0749626590826749	0.0888675775166585
Amp_5p15.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_5q34	0.0826497231364862	0.0875576211253016	0.0882862930951296	0.0929950136258739	0.103578165454876	0.0396170097734004	0.847231796928312	0.847317171067787	0.722372341243642	0.136463740302287	0.141682812617383	0.119602796452304	0.445371199495922	0.45155877422923	0.578521960403262	0.741056858437941	0.741761750800276	0.171303156715616	0.572682605884207	0.572911475533282	0.419208239240613	0.236604854945179	0.245688573120536	0.217361675489056	0.211710177686447	0.223125954653782	0.163016320049123
Del_6p25.3	0.833046911187785	0.834310678838092	0.196202078010824	0.0172134195662159	0.0270495991687284	1.89403972106786e-05	0.0393686128758657	0.0564516289561478	0.0721944440469888	0.701669844649063	0.703260152547875	0.146462214938298	0.00864459264285888	0.0163325198831236	9.25512845086291e-07	0.0127999881016623	0.0258536127849702	0.0266051270072183	0.42927454850622	0.430602196810723	0.65431919231586	0.191838505600397	0.198766664662826	0.0606689320908023	0.485436181423252	0.487749293725778	0.325904641984383
Del_6q22.31	0.834662094357352	0.835242122591571	0.473071991961037	0.513854266449966	0.516401824543961	0.625181435142258	0.537463351194066	0.540287798117743	0.539738003168637	0.901549818567403	0.9021777014861	0.594416519248527	0.821890236909362	0.822575806972946	0.999458152487685	0.704074289139878	0.705048004541029	0.435190231699192	0.0438771527759283	0.0460872294715607	0.0114309433910797	0.313269670588996	0.318527166386766	0.469821478772995	0.0874783921187853	0.0983005179397022	0.0796417569056129
Del_6q26	0.459355816083844	0.461896169698856	0.928095872152679	0.765573345193183	0.766108936566629	0.780359779192436	0.693951537946771	0.694862890400502	0.943566675730166	0.311682078579092	0.32191745487906	0.738563119863782	0.995693816644479	0.996056836843824	0.955722632859366	0.53915700507069	0.544120397043148	0.899003251162551	0.0761430112534782	0.0790702944514217	0.0231934675051623	0.854722114594717	0.854629512740348	0.87593707892021	0.191600838754217	0.198436286741914	0.320069852691478
Amp_7p11.2	0.0853700352173932	0.0920250996014354	0.0250012182326082	0.320622282723406	0.330480016340398	0.00365320826250097	0.0321314903040677	0.0596137295433443	0.0708056594383238	0.126040148014884	0.133586240183688	0.0497446978649185	0.379519809190924	0.387171061260244	0.00570467040800391	0.0408217336403628	0.0704262846044423	0.0889542777251775	0.00806070637192047	0.00960145991131576	0.000304140774074129	0.864247265266747	0.864432160559204	0.769187643968796	0.123844894345581	0.133735820751288	0.199409633177992
Amp_7q11.21	0.0662609744055499	0.0728686296704286	0.0257021999260797	NA	NA	NA	NA	NA	NA	0.101969630395929	0.109775444530594	0.0523478166241512	NA	NA	NA	NA	NA	NA	0.00133882644186534	0.00187704111365105	1.46641667883728e-05	NA	NA	NA	NA	NA	NA
