clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Del_1p36.32	0.536706311818921	0.537787520411754	0.44472891994685	0.529147392858787	0.528715103370525	0.721789291879266	0.862723092925196	0.862733674968527	0.635712899180357	0.772457831925751	0.773532536774776	0.347079415599619	0.490957648283398	0.490492507680396	0.784450569864576	0.603733800784658	0.604006772617462	0.443380462749036	0.889246899183582	0.887340333005391	0.370154648957669	0.863096339204206	0.86302140123911	0.348672967644157	0.836736106324199	0.837944058521526	0.994106904594713
Del_1p36.23	0.502092655074038	0.501785175619715	0.0925261842377365	0.53194262829949	0.530335118406234	0.682222965846187	0.335484398446359	0.336537306483982	0.392447373152505	0.547704020932249	0.547413716095986	0.131750188210376	0.568235682011994	0.566186121433228	0.679092823619791	0.38649141423254	0.387399040247303	0.504045070700851	0.953999951635222	0.956794248404206	0.406490340663948	0.758866506622829	0.759895972345274	0.281847233877291	0.686014677977716	0.685222614733846	0.68514673287201
Amp_1p36.21	0.663603991934995	0.665118499576465	0.697395032806664	0.63696354850447	0.636765117459373	0.632989684903639	0.754808595471231	0.74729075283871	0.521130389866577	0.527395145920674	0.528817195800247	0.837524266664148	0.441137935616737	0.441031343446531	0.984061533339866	0.859269645609525	0.870719442156358	0.860044511362795	0.370914598577038	0.372219333778293	0.355177428216611	0.47703199862175	0.477824077745394	0.288835675657497	0.897934021195052	0.897241387072958	0.396284452623868
Del_1p32.3	0.313060534071237	0.310931086331319	0.245620425814674	NA	NA	NA	NA	NA	NA	0.345760953925199	0.343040243937871	0.290310763298133	NA	NA	NA	NA	NA	NA	0.642656592302894	0.639583893450425	0.875716368299216	NA	NA	NA	NA	NA	NA
Del_1p22.1	0.348991265421529	0.348182463819216	0.786310846930269	NA	NA	NA	NA	NA	NA	0.381437100293191	0.379654697757914	0.826385423893143	NA	NA	NA	NA	NA	NA	0.988516586591274	0.992279058232742	0.712881791292917	NA	NA	NA	NA	NA	NA
Amp_1q22	0.926891872494642	0.923493662092671	0.62382054096179	0.834244885620698	0.832533226462034	0.999460958388169	0.640416522366301	0.64225539158804	0.440152449157236	0.589485625743844	0.587571984326992	0.830783793095446	0.987550678237468	0.98595955633086	0.765639148412963	0.989201463853391	0.990686637568028	0.878626591417271	0.620024427593891	0.619677657228464	0.781926580599272	0.171172153186514	0.174726037896701	0.374110923347921	0.293598595953615	0.297852191509225	0.329669745512432
Amp_1q32.1	0.983789798641897	0.980582893403641	0.707510377171992	0.267833734908978	0.268713848880913	0.210703005295726	0.258525329472592	0.260385956026101	0.0704619530866776	0.804997715275431	0.802308663623247	0.849682058212655	0.215883839200049	0.217997766322062	0.196924301337345	0.325155782195466	0.326760689829601	0.204054839658462	0.502467016687614	0.501241101325762	0.535093872505189	0.201202510873033	0.203081904329799	0.254592096837405	0.316739824283941	0.316607872290302	0.337667879731972
Del_1q42.11	0.856393823038997	0.85925433141981	0.571660676711158	NA	NA	NA	NA	NA	NA	0.912232706473373	0.9164834995455	0.640826776704139	NA	NA	NA	NA	NA	NA	0.606290360661491	0.607472496087321	0.752007783881649	NA	NA	NA	NA	NA	NA
Amp_1q44	0.956623184128616	0.957352052142339	0.741808708237038	0.865426715676294	0.867451447358161	0.596852858803844	0.856574322639532	0.856598211991052	0.703910797316906	0.813341811856458	0.813052186513108	0.893978283468634	0.948640513720761	0.950277762253974	0.60779597113725	0.95548863942251	0.95548964327356	0.587425592337588	0.542532904015307	0.54189093897272	0.55700243100943	0.323470745029585	0.326006892056609	0.565716823981354	0.176420097272056	0.176614386191851	0.574648941178889
Del_1q44	0.258565079203188	0.261823365244252	0.483993019844327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.641924944502721	0.64165135232994	0.90530062378316	NA	NA	NA	NA	NA	NA
Amp_2p24.3	0.624034859300981	0.627331225662831	0.448479662657608	NA	NA	NA	NA	NA	NA	0.249742277390768	0.2544504204874	0.0544368803542079	NA	NA	NA	NA	NA	NA	0.941977836045926	0.941542144134684	0.728607297738223	NA	NA	NA	NA	NA	NA
Del_2q22.1	0.641809426829568	0.639071897271575	0.76238431328662	0.208643812587487	0.212886267057913	0.110549886109276	0.534572436731325	0.535611935965403	0.496578475573161	0.473526926420649	0.471213685469913	0.569653015070354	NA	NA	NA	NA	NA	NA	0.714669505113628	0.716184974955269	0.409391747517235	0.516176015605001	0.517163474184035	0.480606684837578	0.759985210922093	0.772938027958324	0.823926451712135
Del_2q37.1	0.985096786325964	0.983385486817222	0.933047901994247	NA	NA	NA	NA	NA	NA	0.723476455815419	0.72608423409202	0.638450354139217	NA	NA	NA	NA	NA	NA	0.695073469260423	0.69265229743897	0.760522404840845	NA	NA	NA	NA	NA	NA
Del_3p21.31	0.499296106287754	0.498864048605154	0.590246874875378	NA	NA	NA	NA	NA	NA	0.401153025984925	0.40231174243361	0.351633625721923	NA	NA	NA	NA	NA	NA	0.169322557804005	0.17241274312245	0.24340823637168	NA	NA	NA	NA	NA	NA
Del_3q13.31	0.907246748781158	0.907840080931919	0.628018411514825	NA	NA	NA	NA	NA	NA	0.695333902446359	0.694692285420052	0.497941204243267	NA	NA	NA	NA	NA	NA	0.263239949919834	0.264765807534575	0.269058137235819	NA	NA	NA	NA	NA	NA
Amp_3q26.33	0.865045457174415	0.863704795081188	0.811450746693807	0.456754241070311	0.458699785213663	0.097930850307309	0.614042211757962	0.614495713710876	0.352858524293551	0.187213995061618	0.188607560878913	0.0801625596413481	0.353819527462766	0.356040134935711	0.0810403549523728	0.0640900429659179	0.0694374339899716	0.0293642633924807	0.541706551684074	0.53975210617863	0.527116784544172	0.638562659570518	0.640143479159321	0.396321780667638	0.282599807954623	0.286932780880428	0.163023119666936
Del_3q29	0.0939335599983818	0.0959416040390083	0.146538427613902	NA	NA	NA	NA	NA	NA	0.118731069826482	0.121337027178609	0.144487216614932	NA	NA	NA	NA	NA	NA	0.0965797605037304	0.0985737556631325	0.173966749823025	NA	NA	NA	NA	NA	NA
Amp_4p16.3	0.675501398950333	0.672896189630722	0.648445136003818	NA	NA	NA	NA	NA	NA	0.85932854151027	0.855428604167628	0.802687182060677	NA	NA	NA	NA	NA	NA	0.793531090557107	0.793874848276371	0.834667038884268	NA	NA	NA	NA	NA	NA
Amp_4q12	0.349981668739723	0.35331412480578	0.987492735135488	0.316858933188079	0.319523989540644	0.404630707277361	0.947689011201001	0.941544814898048	0.550083107530198	0.276769715997462	0.280838793909608	0.818258254040512	0.410744379757231	0.413979465113991	0.548068420209061	0.803920462105853	0.798329538998276	0.574647652940969	0.0460127909577737	0.0473654635475684	0.0715350064553777	0.138385892237288	0.140707771177303	0.128922549158102	0.984524901019396	0.996382009376821	0.646589529567553
Del_4q34.3	0.744054343698085	0.742344306066695	0.939810430303929	0.165110471505153	0.168996228955153	0.475922578875638	0.180339388928049	0.182552451585577	0.519405576346142	0.665832489302703	0.663755660156677	0.834232439125418	0.221121054512914	0.225767504118012	0.522471634024454	0.185738738489141	0.190164757991901	0.392527758079995	0.578680448947225	0.578501287826228	0.625355769869942	0.586831296223749	0.58681780948441	0.819750417967444	0.524853655854255	0.524934739401442	0.850881605638132
Del_5p15.33	0.980901490174516	0.99030278070278	0.537793889177298	NA	NA	NA	NA	NA	NA	0.98889491583705	0.978407886910259	0.632417856344871	NA	NA	NA	NA	NA	NA	0.264159510527257	0.266864113576828	0.24305130083984	NA	NA	NA	NA	NA	NA
