HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:3385	EPHA1	EPH receptor A1	Approved	gene with protein product	EPHT, EPHT1	EPH	7q34-q35	2041	ENSG00000146904	OTTHUMG00000155894	1095	EPH receptors
HGNC:19987	EPHA10	EPH receptor A10	Approved	gene with protein product		FLJ16103, FLJ33655	1p34.3	284656	ENSG00000183317	OTTHUMG00000004325	1095	EPH receptors
HGNC:3386	EPHA2	EPH receptor A2	Approved	gene with protein product	ECK		1p36.13	1969	ENSG00000142627	OTTHUMG00000009527	1095	EPH receptors
HGNC:3387	EPHA3	EPH receptor A3	Approved	gene with protein product	ETK, ETK1, TYRO4	HEK, HEK4	3p11.1	2042	ENSG00000044524	OTTHUMG00000159040	1095	EPH receptors
HGNC:3388	EPHA4	EPH receptor A4	Approved	gene with protein product	TYRO1	Hek8	2q36.1	2043	ENSG00000116106	OTTHUMG00000133142	1095	EPH receptors
HGNC:3389	EPHA5	EPH receptor A5	Approved	gene with protein product		Hek7, TYRO4, CEK7, EHK1	4q13.1-q13.2	2044	ENSG00000145242	OTTHUMG00000129273	1095	EPH receptors
HGNC:19296	EPHA6	EPH receptor A6	Approved	gene with protein product		FLJ35246	3q11.2	285220	ENSG00000080224	OTTHUMG00000159208	1095	EPH receptors
HGNC:3390	EPHA7	EPH receptor A7	Approved	gene with protein product		Hek11	6q16.1	2045	ENSG00000135333	OTTHUMG00000015228	1095	EPH receptors
HGNC:3391	EPHA8	EPH receptor A8	Approved	gene with protein product	EEK	Hek3	1p36.12	2046	ENSG00000070886	OTTHUMG00000002892	1095	EPH receptors
HGNC:3392	EPHB1	EPH receptor B1	Approved	gene with protein product	EPHT2	Hek6	3q22.2	2047	ENSG00000154928	OTTHUMG00000159804	1095	EPH receptors
HGNC:3393	EPHB2	EPH receptor B2	Approved	gene with protein product	DRT, ERK, EPHT3	Hek5, Tyro5	1p36.12	2048	ENSG00000133216	OTTHUMG00000002881	1095	EPH receptors
HGNC:3394	EPHB3	EPH receptor B3	Approved	gene with protein product	ETK2	Hek2, Tyro6	3q27.1	2049	ENSG00000182580	OTTHUMG00000156710	1095	EPH receptors
HGNC:3395	EPHB4	EPH receptor B4	Approved	gene with protein product	HTK	Tyro11	7q22.1	2050	ENSG00000196411	OTTHUMG00000157040	1095	EPH receptors
HGNC:3396	EPHB6	EPH receptor B6	Approved	gene with protein product		HEP	7q34	2051	ENSG00000106123	OTTHUMG00000155707	1095	EPH receptors
HGNC:3236	EGFR	epidermal growth factor receptor	Approved	gene with protein product	ERBB	ERBB1, ERRP	7p11.2	1956	ENSG00000146648	OTTHUMG00000023661	1096	Erb-b2 receptor tyrosine kinases
HGNC:3430	ERBB2	erb-b2 receptor tyrosine kinase 2	Approved	gene with protein product	NGL	NEU, HER-2, CD340, HER2	17q12	2064	ENSG00000141736	OTTHUMG00000179300	1096	Erb-b2 receptor tyrosine kinases
HGNC:3431	ERBB3	erb-b2 receptor tyrosine kinase 3	Approved	gene with protein product	LCCS2	HER3	12q13.2	2065	ENSG00000065361	OTTHUMG00000170140	1096	Erb-b2 receptor tyrosine kinases
HGNC:3432	ERBB4	erb-b2 receptor tyrosine kinase 4	Approved	gene with protein product		ALS19, HER4	2q34	2066	ENSG00000178568	OTTHUMG00000133012	1096	Erb-b2 receptor tyrosine kinases
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved	gene with protein product		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	9625	ENSG00000181409	OTTHUMG00000132717	321	Receptor tyrosine kinases
HGNC:427	ALK	ALK receptor tyrosine kinase	Approved	gene with protein product		CD246	2p23.2-p23.1	238	ENSG00000171094	OTTHUMG00000152034	321	Receptor tyrosine kinases
HGNC:905	AXL	AXL receptor tyrosine kinase	Approved	gene with protein product		UFO, JTK11, Tyro7, ARK	19q13.2	558	ENSG00000167601	OTTHUMG00000182727	321	Receptor tyrosine kinases
HGNC:2433	CSF1R	colony stimulating factor 1 receptor	Approved	gene with protein product	FMS	C-FMS, CSFR, CD115	5q32	1436	ENSG00000182578	OTTHUMG00000130050	321	Receptor tyrosine kinases
HGNC:2730	DDR1	discoidin domain receptor tyrosine kinase 1	Approved	gene with protein product	NTRK4, PTK3A, NEP, CAK, EDDR1	RTK6, CD167	6p21.33	780	ENSG00000204580	OTTHUMG00000031236	321	Receptor tyrosine kinases
HGNC:2731	DDR2	discoidin domain receptor tyrosine kinase 2	Approved	gene with protein product	TYRO10, NTRKR3	TKT	1q23.3	4921	ENSG00000162733	OTTHUMG00000034423	321	Receptor tyrosine kinases
HGNC:3688	FGFR1	fibroblast growth factor receptor 1	Approved	gene with protein product	FLT2, KAL2	H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331	8p11.23	2260	ENSG00000077782	OTTHUMG00000147366	321	Receptor tyrosine kinases
HGNC:3689	FGFR2	fibroblast growth factor receptor 2	Approved	gene with protein product	KGFR, BEK, CFD1, JWS	CEK3, TK14, TK25, ECT1, K-SAM, CD332	10q26.13	2263	ENSG00000066468	OTTHUMG00000019175	321	Receptor tyrosine kinases
HGNC:3690	FGFR3	fibroblast growth factor receptor 3	Approved	gene with protein product	ACH	CEK2, JTK4, CD333	4p16.3	2261	ENSG00000068078	OTTHUMG00000121148	321	Receptor tyrosine kinases
HGNC:3691	FGFR4	fibroblast growth factor receptor 4	Approved	gene with protein product		JTK2, CD334	5q35.2	2264	ENSG00000160867	OTTHUMG00000151523	321	Receptor tyrosine kinases
HGNC:3763	FLT1	fms related receptor tyrosine kinase 1	Approved	gene with protein product	FLT	VEGFR1	13q12.3	2321	ENSG00000102755	OTTHUMG00000016648	321	Receptor tyrosine kinases
HGNC:3765	FLT3	fms related receptor tyrosine kinase 3	Approved	gene with protein product		STK1, FLK2, CD135	13q12.2	2322	ENSG00000122025	OTTHUMG00000016646	321	Receptor tyrosine kinases
HGNC:3767	FLT4	fms related receptor tyrosine kinase 4	Approved	gene with protein product		VEGFR3, PCL, VEGFR-3	5q35.3	2324	ENSG00000037280	OTTHUMG00000130931	321	Receptor tyrosine kinases
HGNC:5465	IGF1R	insulin like growth factor 1 receptor	Approved	gene with protein product		JTK13, CD221, IGFIR, MGC18216, IGFR	15q26.3	3480	ENSG00000140443	OTTHUMG00000149851	321	Receptor tyrosine kinases
HGNC:6091	INSR	insulin receptor	Approved	gene with protein product		CD220	19p13.2	3643	ENSG00000171105	OTTHUMG00000181992	321	Receptor tyrosine kinases
HGNC:6093	INSRR	insulin receptor related receptor	Approved	gene with protein product		IRR	1q23.1	3645	ENSG00000027644	OTTHUMG00000041291	321	Receptor tyrosine kinases
HGNC:6307	KDR	kinase insert domain receptor	Approved	gene with protein product		FLK1, VEGFR, VEGFR2, CD309	4q12	3791	ENSG00000128052	OTTHUMG00000128734	321	Receptor tyrosine kinases
